Employee_ID,Age,Gender,Department,Job_Role,Education,Monthly_Salary,Years_At_Company,Total_Working_Years,Job_Satisfaction,Work_Life_Balance,Environment_Satisfaction,Performance_Rating,Overtime,Business_Travel,Promotion_Last_5Yrs,Training_Hours,Projects_Handled,Absence_Days,Late_Days,Team_Size,Engagement_Score,Joining_Date,Last_Promotion_Date,Attrition
EMP100001,42,Male,Finance,Financial Analyst,Master's,55800,6.1,10.7,3,1,4,4,Yes,Rarely,No,47.0,7,0,2,3,68.6,2020-06-24,,No
EMP100002,37,Male,Research & Development,Research Scientist,Bachelor's,61800,0.6,12.9,4,4,3,3,No,None,No,19.0,4,3,5,5,82.2,2025-12-24,,No
EMP100003,42,Male,Marketing,Digital Marketing Specialist,Master's,41100,6.3,10.6,2,3,4,4,No,Frequently,No,45.0,0,3,4,3,73.3,2020-04-12,,No
EMP100004,28,Female,Operations,Operations Executive,Bachelor's,27600,3.9,3.9,3,2,3,4,No,None,No,22.0,3,9,5,3,65.7,2022-09-06,,No
EMP100005,35,Female,Sales,Sales Manager,Diploma,62900,8.4,12.0,2,4,2,3,No,None,No,30.0,5,13,2,12,64.0,2018-03-07,,No
EMP100006,43,Female,Sales,Sales Executive,Master's,32600,7.5,14.1,2,2,2,3,Yes,None,No,38.0,9,11,5,4,52.8,2019-01-30,,No
EMP100007,39,Male,Sales,Sales Executive,High School,31600,0.7,13.7,3,3,4,3,Yes,None,No,14.0,5,7,1,3,72.6,2025-11-17,,No
EMP100008,33,Female,Customer Support,Customer Support Executive,Bachelor's,35300,2.2,9.0,4,4,3,3,No,None,No,16.0,1,14,3,4,81.7,2024-05-18,,No
EMP100009,38,Male,Operations,Supply Chain Analyst,Master's,36200,1.9,10.6,4,3,4,4,No,None,No,54.0,4,5,3,5,89.8,2024-09-05,,No
EMP100010,26,Male,Marketing,Brand Manager,High School,66300,1.4,4.5,4,4,2,4,No,None,No,63.0,2,10,1,7,87.0,2025-03-07,,No
